Best case,,time/n,Average,,Worst case,,time/n^2,time/n,Average n^2,Random case,,time/n,Average
7,1527251,4.5834E-06,,,13,2117,2.90069E-06,0.006140765,,96,8244,0.011644833,
9,2024296,4.44599E-06,,,246,9325,2.82903E-06,0.026380697,,34,4570,0.007439825,
7,1781163,3.93002E-06,,,65,4670,2.98043E-06,0.01391863,,70,6853,0.010214505,
33,8003622,4.12313E-06,,,24,2834,2.98821E-06,0.008468596,,9,2342,0.003842869,
17,4099184,4.14717E-06,,,12,1956,3.13649E-06,0.006134969,,37,5085,0.007276303,
30,7280050,4.12085E-06,,,37,3526,2.97603E-06,0.010493477,,135,9595,0.014069828,
35,8721091,4.01326E-06,,,69,4889,2.88675E-06,0.014113316,,6,1922,0.003121748,
6,1459258,4.11168E-06,,,222,8840,2.84085E-06,0.025113122,,45,5591,0.00804865,
36,8508565,4.23103E-06,,,251,9293,2.90644E-06,0.027009577,,75,7120,0.010533708,
13,3417927,3.80348E-06,,,151,7243,2.87833E-06,0.020847715,,16,3188,0.005018821,
31,7240872,4.28125E-06,,,245,9255,2.86031E-06,0.026472177,,86,7730,0.011125485,
15,3807119,3.93999E-06,,,67,4844,2.8554E-06,0.013831544,,56,6260,0.008945687,
23,4902484,4.6915E-06,,,79,5231,2.88707E-06,0.015102275,,56,6206,0.009023526,
43,9947897,4.32252E-06,,,4,1258,2.52754E-06,0.00317965,,17,3449,0.004928965,
42,9835306,4.27033E-06,,,199,8308,2.8831E-06,0.023952817,,43,5341,0.008050927,
35,8207009,4.26465E-06,,,22,2722,2.96925E-06,0.008082292,,125,9337,0.013387598,
22,5403306,4.07158E-06,,,121,6489,2.87362E-06,0.018646941,,141,9780,0.014417178,
20,4797410,4.16892E-06,,,75,5130,2.84988E-06,0.014619883,,129,9303,0.013866495,
39,9392920,4.15206E-06,,,93,5719,2.84343E-06,0.016261584,,140,9661,0.014491253,
41,9748618,4.20572E-06,,,163,7555,2.85574E-06,0.021575116,,69,6764,0.010201064,
4,1163503,3.43789E-06,,,294,9806,3.05748E-06,0.029981644,,29,4452,0.006513926,
27,6614784,4.08177E-06,,,197,8370,2.812E-06,0.02353644,,8,2314,0.003457217,
30,7374122,4.06828E-06,,,196,8292,2.85061E-06,0.023637241,,3,1709,0.001755413,
7,1428386,4.90064E-06,,,224,8907,2.82348E-06,0.025148759,,131,9375,0.013973333,
26,6392245,4.06743E-06,,,164,7363,3.02506E-06,0.02227353,,113,8398,0.013455585,
29,6825135,4.249E-06,,,78,5200,2.88462E-06,0.015,,111,8099,0.013705396,
27,6573573,4.10736E-06,,,12,1878,3.40244E-06,0.006389776,,90,7158,0.012573345,
25,6036910,4.14119E-06,,,149,6453,3.57819E-06,0.023090036,,4,1719,0.002326934,
